2021-12-03 00:20:57 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - pool-2-thread-11 released 6
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #14 was served by terminal #6. Truck isPerishable - false
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #16 was served by terminal #4. Truck isPerishable - false
2021-12-03 00:20:57 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - pool-2-thread-13 released 5
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #17 was served by terminal #5. Truck isPerishable - false
2021-12-03 00:20:57 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - pool-2-thread-16 released 9
2021-12-03 00:20:57 [pool-2-thread-17] INFO  by.epam.task5.entitty.Base - pool-2-thread-17 released 3
2021-12-03 00:20:57 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - pool-2-thread-18 released 10
2021-12-03 00:20:57 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - pool-2-thread-14 released 1
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #19 was served by terminal #1. Truck isPerishable - false
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #20 was served by terminal #2. Truck isPerishable - false
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #21 was served by terminal #9. Truck isPerishable - false
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #23 was served by terminal #3. Truck isPerishable - false
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #25 was served by terminal #10. Truck isPerishable - false
2021-12-03 00:20:57 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - pool-2-thread-20 released 7
2021-12-03 00:20:57 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - pool-2-thread-19 released 8
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #26 was served by terminal #8. Truck isPerishable - false
2021-12-03 00:20:57 [main] INFO  by.epam.task5.main.Main - Truck #29 was served by terminal #7. Truck isPerishable - false
2021-12-03 00:20:57 [pool-2-thread-21] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 279
